Date,Price,Open,High,ChangePercentFromLastMonth,Volume
03/01/2015,235.8,244.1,261.5,-3.43,2.07M
03/01/2015,244.1,254.1,301.0,-3.9,2.97M
02/01/2015,254.1,218.5,264.6,16.27,2.09M
01/01/2015,218.5,318.2,321.4,-31.34,1.56M
12/01/2014,318.2,374.9,384.9,-15.12,847.29K
11/01/2014,374.9,337.9,480.5,10.97,711.11K
10/01/2014,337.9,388.2,407.7,-12.96,569.00K
09/01/2014,388.2,481.8,498.5,-19.43,295.62K
08/01/2014,481.8,589.5,608.2,-18.28,126.17K
07/01/2014,589.5,635.1,652.5,-7.18,107.22K
06/01/2014,635.1,627.9,676.5,1.15,111.81K
05/01/2014,627.9,445.6,629.0,40.9,85.75K
03/01/2014,445.6,444.7,549.0,0.22,161.16K
03/01/2014,444.7,573.9,695.4,-22.53,94.27K
02/01/2014,573.9,938.8,969.2,-38.87,996.35K
01/01/2014,938.8,805.9,1093.4,16.49,306.25K
12/01/2013,805.9,1205.7,1239.9,-33.15,920.80K
11/01/2013,1205.7,211.2,1241.9,470.94,1.13M
10/01/2013,211.2,141.9,233.4,48.82,753.58K
09/01/2013,141.9,141.0,148.9,0.64,451.29K
08/01/2013,141.0,106.2,148.7,32.76,604.91K
07/01/2013,106.2,97.5,111.7,8.92,1.14M
06/01/2013,97.5,128.8,130.1,-24.31,1.05M
05/01/2013,128.8,139.2,140.1,-7.48,2.07M
03/01/2013,139.2,93.0,266.0,49.66,4.73M
03/01/2013,93.0,33.4,95.7,178.7,2.12M
02/01/2013,33.4,20.4,34.5,63.55,1.58M
01/01/2013,20.4,13.5,21.4,51.07,1.46M
12/01/2012,13.5,12.6,13.9,7.48,876.92K
11/01/2012,12.6,11.2,12.6,12.23,804.19K
10/01/2012,11.2,12.4,13.1,-9.68,1.15M
09/01/2012,12.4,10.2,12.7,22.05,959.78K
08/01/2012,10.2,9.4,15.4,8.66,2.45M
07/01/2012,9.4,6.7,9.7,39.76,1.90M
06/01/2012,6.7,5.2,6.8,29.15,1.38M
05/01/2012,5.2,4.9,5.2,4.65,1.24M
03/01/2012,4.9,4.9,5.5,0.0,1.66M
03/01/2012,4.9,4.9,5.4,0.0,1.76M
02/01/2012,4.9,5.5,6.2,-11.31,2.84M
01/01/2012,5.5,4.7,7.2,16.1,3.21M
12/01/2011,4.7,3.0,5.0,58.92,1.90M
11/01/2011,3.0,3.3,3.4,-8.62,1.97M
10/01/2011,3.3,5.1,5.3,-36.77,1.73M
09/01/2011,5.1,8.2,8.7,-37.32,1.49M
08/01/2011,8.2,13.4,13.6,-38.58,1.22M
07/01/2011,13.4,16.1,16.7,-17.08,1.05M
06/01/2011,16.1,8.7,31.9,84.21,1.36M
05/01/2011,8.7,3.5,9.5,149.71,949.02K
03/01/2011,3.5,0.8,4.2,346.09,868.76K
03/01/2011,0.8,0.9,1.0,-8.77,243.30K
02/01/2011,0.9,0.5,1.1,65.38,367.30K
01/01/2011,0.5,0.3,0.9,73.33,377.75K
12/01/2010,0.3,0.2,0.3,44.09,263.65K
11/01/2010,0.2,0.2,0.5,0.0,826.25K
10/01/2010,0.2,0.1,0.2,210.99,1.11M
09/01/2010,0.1,0.1,0.2,0.0,216.81K
08/01/2010,0.1,0.1,0.1,0.0,221.74K
