,Date,Price,Open,High,Low,Volume,ChangePercentFromLastMonth
211,05/22/2023,26847.3,26749.9,27048.9,26546.1,35.56K,0.36
212,05/21/2023,26749.9,27116.2,27257.1,26677.6,27.42K,-1.35
213,05/20/2023,27116.2,26883.0,27147.2,26831.3,17.72K,0.87
214,05/19/2023,26882.9,26828.2,27154.7,26711.3,36.67K,0.2
215,05/18/2023,26828.0,27403.8,27467.0,26449.8,63.39K,-2.1
216,05/17/2023,27403.1,27035.5,27465.3,26597.7,58.14K,1.36
217,05/16/2023,27035.3,27183.9,27295.3,26881.9,45.29K,-0.55
218,05/15/2023,27183.9,26920.4,27651.7,26752.1,53.27K,0.98
219,05/14/2023,26920.0,26777.4,27176.1,26609.9,26.35K,0.53
220,05/13/2023,26777.5,26798.7,27011.9,26695.6,27.95K,-0.08
221,05/12/2023,26799.2,26983.1,27044.0,25853.1,87.49K,-0.68
222,05/11/2023,26983.5,27604.3,27607.4,26766.2,62.85K,-2.25
223,05/10/2023,27603.3,27634.3,28311.7,26885.7,91.45K,-0.11
224,05/09/2023,27634.9,27670.5,27816.0,27366.3,49.75K,-0.13
225,05/08/2023,27670.5,28424.8,28627.8,27280.3,85.72K,-2.65
226,05/07/2023,28424.8,28857.1,29122.0,28419.6,36.50K,-1.5
227,05/06/2023,28857.1,29512.8,29816.4,28414.9,58.94K,-2.22
228,05/05/2023,29513.2,28842.2,29653.9,28825.3,74.52K,2.33
229,05/04/2023,28842.1,29023.6,29352.7,28687.4,53.80K,-0.63
230,05/03/2023,29023.6,28669.1,29244.7,28164.4,81.22K,1.24
231,05/02/2023,28669.1,28079.0,28877.4,27913.2,65.33K,2.11
232,05/01/2023,28077.6,29252.1,29329.6,27685.9,84.36K,-4.02
233,04/30/2023,29252.1,29235.1,29941.3,29095.0,47.62K,0.06
234,04/29/2023,29234.1,29318.4,29425.5,29058.5,25.72K,-0.3
235,04/28/2023,29321.8,29475.9,29587.2,28927.8,69.88K,-0.52
236,04/27/2023,29475.9,28424.5,29859.8,28392.4,121.63K,3.7
237,04/26/2023,28424.6,28298.8,29995.7,27307.8,164.31K,0.44
238,04/25/2023,28298.8,27510.1,28375.6,27201.1,65.31K,2.87
239,04/24/2023,27509.3,27591.4,27978.8,27054.3,66.74K,-0.3
240,04/23/2023,27591.4,27813.8,27815.0,27388.5,41.77K,-0.8
241,04/22/2023,27813.9,27264.8,27872.0,27165.7,44.30K,2.01
242,04/21/2023,27264.8,28240.5,28353.4,27171.1,98.72K,-3.46
243,04/20/2023,28240.5,28813.7,29082.1,28032.4,95.45K,-1.99
244,04/19/2023,28813.7,30382.2,30408.4,28641.1,111.27K,-5.16
245,04/18/2023,30382.2,29434.1,30470.1,29149.2,76.58K,3.22
246,04/17/2023,29434.9,30310.8,30312.2,29274.0,71.90K,-2.89
247,04/16/2023,30310.3,30299.2,30545.3,30134.6,34.48K,0.04
248,04/15/2023,30299.6,30472.6,30586.5,30208.8,31.71K,-0.57
249,04/14/2023,30472.5,30387.4,30964.9,30026.0,98.38K,0.28
250,04/13/2023,30387.4,29892.4,30524.1,29864.5,65.87K,1.68
251,04/12/2023,29886.4,30209.8,30473.0,29679.5,78.69K,-1.07
252,04/11/2023,30209.6,29641.0,30484.6,29597.8,89.38K,1.92
253,04/10/2023,29641.0,28326.5,29755.4,28182.9,85.73K,4.64
254,04/09/2023,28326.6,27941.2,28522.7,27809.2,39.35K,1.38
255,04/08/2023,27941.2,27910.4,28153.1,27863.8,23.73K,0.11
256,04/07/2023,27910.4,28037.6,28102.5,27779.4,30.94K,-0.45
257,04/06/2023,28036.7,28173.5,28173.5,27734.5,51.29K,-0.49
258,04/05/2023,28173.5,28164.4,28744.4,27823.5,77.32K,0.03
259,04/04/2023,28164.4,27802.2,28429.1,27668.9,64.06K,1.3
260,04/03/2023,27802.1,28194.7,28458.4,27256.9,98.00K,-1.41
261,04/02/2023,28198.3,28456.1,28522.8,27871.7,45.04K,-0.91
262,04/01/2023,28456.1,28473.7,28795.1,28285.6,38.09K,-0.06
263,03/31/2023,28473.7,28029.3,28646.3,27587.5,98.44K,1.58
264,03/30/2023,28029.5,28350.3,29160.4,27716.7,122.51K,-1.13
265,03/29/2023,28350.4,27262.9,28627.4,27249.8,109.32K,3.99
266,03/28/2023,27262.2,27127.8,27465.0,26665.6,94.16K,0.49
267,03/27/2023,27129.8,27974.8,28023.3,26611.5,107.24K,-3.02
268,03/26/2023,27973.5,27474.9,28153.7,27429.1,60.64K,1.81
269,03/25/2023,27475.6,27462.2,27761.9,27176.7,61.36K,0.05
270,03/24/2023,27462.2,28306.9,28374.5,27026.5,110.36K,-3.0
271,03/23/2023,28310.7,27262.8,28734.1,27144.6,158.46K,3.85
272,03/22/2023,27261.7,28114.2,28760.3,26668.7,262.03K,-3.03
273,03/21/2023,28114.0,27719.8,28437.8,27350.6,438.78K,1.42
274,03/20/2023,27720.5,27958.9,28457.8,27157.0,503.90K,-0.85
275,03/19/2023,27958.7,26914.5,28347.3,26844.6,393.27K,3.88
276,03/18/2023,26914.5,27391.9,27659.1,26688.7,392.47K,-1.74
277,03/17/2023,27391.8,25004.4,27742.2,24900.1,674.96K,9.55
278,03/16/2023,25004.1,24283.2,25139.0,24147.9,462.58K,2.97
279,03/15/2023,24282.7,24699.6,25108.9,23932.4,614.31K,-1.69
280,03/14/2023,24699.7,24121.5,26365.9,23994.6,753.06K,2.43
281,03/13/2023,24114.4,21994.8,24406.2,21859.6,733.63K,9.64
282,03/12/2023,21994.8,20465.0,22028.6,20294.2,455.69K,7.46
283,03/11/2023,20467.5,20156.5,20669.5,19796.7,453.46K,1.54
284,03/10/2023,20156.7,20362.0,20362.6,19591.8,655.27K,-1.01
285,03/09/2023,20361.8,21710.8,21826.5,20079.6,468.76K,-6.21
286,03/08/2023,21710.8,22197.8,22274.3,21661.3,316.51K,-2.19
287,03/07/2023,22197.8,22410.1,22535.1,21968.6,304.75K,-0.95
288,03/06/2023,22410.0,22428.2,22595.4,22320.1,215.31K,-0.08
289,03/05/2023,22428.3,22347.1,22636.7,22213.5,160.57K,0.36
290,03/04/2023,22347.1,22354.7,22403.7,22167.4,123.93K,-0.03
291,03/03/2023,22354.4,23465.6,23473.4,22051.9,344.63K,-4.73
292,03/02/2023,23465.4,23642.2,23780.5,23208.7,249.26K,-0.75
293,03/01/2023,23642.2,23130.6,23914.1,23025.3,328.77K,2.21
294,02/28/2023,23130.5,23494.0,23595.0,23033.8,275.10K,-1.55
